4.06        7.83
4.15         7.55        10.25
2.6        5.86
4.4         7.83        10.53
5.75        10.25
3.5        7.55
4.15        6.65        9.35
4.06          7.1        10.25
2.43        5.75        9.35
4.15        7.55
