Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rest_pre_press.keys,rest_pre_press.rt,pre_cond_press.keys,pre_cond_press.rt,cond_press.keys,cond_press.rt,loop_rest_press.keys,loop_rest_press.rt,participant,session,date,expName,frameRate,
,,,,,"['5', '5', '5', '5', '5', '5', '5', '5']","[1.98178277205443, 3.9757891937042587, 5.985300658270717, 7.969855486997403, 9.976246356382035, 11.980142716900446, 13.978923901449889, 15.97902782150777]",,,,,,,div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided2spk_2targets_Stim1,0,0,0,0,,,['5'],[1.926390818087384],"['5', '1', '5', '5', '5', '5', '1']","[1.913025330810342, 2.943532067234628, 3.9026153640588745, 5.9064394509769045, 7.903780295047909, 9.896804821910337, 11.224011861428153]","['5', '5', '5', '5']","[1.9872734285891056, 3.970486705075018, 5.973133886640426, 7.97963166970294]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided4spk_3targets_Stim1,0,1,1,1,,,['5'],[1.9823387229116634],"['5', '1', '5', '1', '5', '5', '1', '5', '1']","[1.9235759959556162, 3.1605710214935243, 3.928195092594251, 5.343405310472008, 5.925966157170478, 7.92696387518663, 8.695016883837525, 9.943614604591858, 11.247141557105351]","['5', '5', '5', '5']","[1.9637006829143502, 3.966050644579809, 5.973822838102933, 7.97918434307212]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided2spk_3targets_Stim2,0,2,2,2,,,['5'],[1.980318910558708],"['5', '5', '1', '5', '5', '1', '5', '1', '5']","[1.920747488795314, 3.932748330407776, 4.836206173931714, 5.932015758182388, 7.93230314203538, 8.058731080556754, 9.93036073516123, 11.363567511260044, 11.913752343505621]","['5', '5', '5', '5', '5']","[1.9601387482252903, 3.975623691396322, 5.975155409658328, 7.963438958337065, 9.960274742392357]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Baseline_2targets_Stim7,0,3,3,3,,,['5'],[1.9585837963386439],"['5', '5', '5', '5', '5']","[1.9254837628104724, 3.939681893447414, 5.92887292499654, 7.94321731349919, 9.927852541266475]","['5', '5', '5', '5', '5']","[0.00037377007538452744, 1.996922170277685, 3.999843906087335, 5.987483834673185, 8.002218671725132]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided4spk_3targets_Stim2,0,4,4,4,,,['5'],[0.0005089089390821755],"['5', '5', '1', '5', '5', '1', '5', '1', '5']","[1.9154612511047162, 3.919597525789868, 4.5962983933859505, 5.91535604809178, 7.925674924394116, 8.536817206768319, 9.932290740078315, 11.213414582016412, 11.914009363914374]","['5', '5', '5', '5', '5']","[1.975920483644586, 3.957458209595643, 5.9611090964172035, 7.963134468300268, 9.966478299116716]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided2spk_3targets_Stim3,0,5,5,5,,,['5'],[1.9697797921253368],"['5', '5', '1', '5', '5', '1', '5', '1', '5']","[1.9142236188054085, 3.938652528973762, 4.770319577655755, 5.918086194607895, 7.924411205225624, 8.026229335693642, 9.91856474004453, 11.21320032706717, 11.91879909473937]","['5', '5', '5', '5', '5']","[1.9626071702223271, 3.9566918526543304, 5.964525200834032, 7.971937309252098, 9.955608603719156]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided2spk_2targets_Stim4,0,6,6,6,,,['5'],[1.9745964651810937],"['5', '5', '1', '5', '1', '5', '5']","[1.9271537538152188, 3.917883914022241, 5.932928800641093, 7.855844925623387, 7.929090173565783, 9.91647864121478]","['5', '5', '5', '5']","[1.9596422413014807, 3.9711157848942094, 5.960566402762197, 7.968347149435431]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided4spk_3targets_Stim3,0,7,7,7,,,['5'],[1.9694915529689752],"['5', '1', '5', '5', '5', '1', '5', '1']","[1.9334659347077832, 3.7817272624233738, 3.9244826235226355, 5.940735206531826, 7.941759439185262, 8.162567740480881, 9.924974426219705, 11.40769974887371]","['5', '5', '5', '5']","[1.9778500608517788, 3.9891978740342893, 5.971662755007856, 7.983075571653899]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Baseline_3targets_Stim8,0,8,8,8,,,['5'],[1.9840621706680395],"['5', '5', '5', '5', '5']","[1.9263891074806452, 3.9282143370364793, 5.921354758262169, 7.919872079975903, 9.93156030611135]","['5', '5', '5', '5']","[1.977634523063898, 3.980610570986755, 5.985555112711154, 7.983025536115747]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
stimuli/sounds/Run1_Divided/Divided4spk_2targets_Stim4,0,9,9,9,,,['5'],[1.9806456385995261],"['5', '5', '5', '1', '5', '5', '1']","[1.9274013657704927, 3.9337918075034395, 5.928740779752843, 6.555620321480092, 7.932838993205223, 9.93805851682555, 9.960403466422576]","['5', '5', '5', '5']","[1.9742577627766877, 3.977375791990198, 5.967988774937112, 7.963341880706139]",div1,001,2018_Dec_14_1235,Run1,59.919998568466156,
