3.16        6.76
2.43        6.93         9.8
3.45        7.05        9.35
3.5        9.63
4.15        9.35
3.45        5.75        9.35
2.15         7.55        10.53
4.15        9.35
2.15        6.03        8.73
5.05        8.65
