Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rest_pre_press.keys,rest_pre_press.rt,pre_cond_press.keys,pre_cond_press.rt,cond_press.keys,cond_press.rt,loop_rest_press.keys,loop_rest_press.rt,participant,session,date,expName,frameRate,
,,,,,"['5', '5', '5', '5', '5', '5', '5', '5']","[1.9889913169317879, 3.980074719816912, 5.976904089096934, 7.979158683796413, 9.990079270093702, 11.982559392694384, 13.984411136829294, 15.97589482436888]",,,,,,,sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Baseline_2targets_Stim3,0,0,0,0,,,['5'],[1.935496438469272],"['5', '5', '5', '5', '5']","[1.9033244153251871, 3.905041875957977, 5.893579451367259, 7.89490133151412, 9.893428061681334]","['5', '5', '5', '5', '5']","[1.961083437083289, 3.962104248465039, 5.960465048614424, 7.978236660594121, 9.957900404348038]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective4spk_3targets_Stim5,0,1,1,1,,,['5'],[1.9545638436684385],"['5', '5', '1', '5', '5', '5', '1']","[1.9300810490967706, 3.9328637971775606, 4.249051462276839, 5.927057103894185, 7.926237290143035, 9.931390527286567, 10.121068144217134]","['5', '5', '5', '5']","[1.9876557518146, 3.9858164096367545, 5.972683138796128, 7.986076851258986]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective2spk_3targets_Stim5,0,2,2,2,,,['5'],[1.9719471452990547],"['5', '1', '5', '1', '5', '5', '1', '5']","[1.9466552283265628, 2.7434282327303663, 3.944425009947736, 5.731493677536491, 5.940973837801721, 7.944013606233057, 8.373799146036617, 9.934095442236867]","['5', '5', '5', '5', '5']","[0.00041140365647152066, 2.0099972801399417, 3.9951435551047325, 5.991513195738662, 8.001463433844037]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds//Run2_Selective/Selective4spk_2targets_Stim6,0,3,3,3,,,['5'],[0.0003511043614707887],"['5', '5', '1', '5', '5', '5', '1']","[1.927824743790552, 3.9264814808848314, 5.820560860389378, 5.926057247561403, 7.9157982428441755, 9.92557528091129, 10.624930292309728]","['5', '5', '5', '5']","[1.98151206667535, 3.9637472971808165, 5.979652197100222, 7.971164965128992]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective2spk_2targets_Stim6,0,4,4,4,,,['5'],[1.9589755279012024],"['5', '5', '1', '5', '5', '1', '5']","[1.9303791243000887, 3.929683758004103, 4.179937357141171, 5.954254221811425, 7.940567565965466, 9.472403025021777, 9.943821161694359]","['5', '5', '5', '5']","[1.969933747779578, 3.9906869671540335, 5.977940295997541, 7.987235795066226]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Baseline_3targets_Stim4,0,5,5,5,,,['5'],[1.9598094542161562],"['5', '5', '5', '5', '5']","[1.9192853379645385, 3.9170268943416886, 5.909040018217638, 7.902755634800997, 9.905641447636299]","['5', '5', '5', '5']","[1.976093256031163, 3.971043938945513, 5.986053330183495, 7.984865733538754]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective2spk_2targets_Stim7,0,6,6,6,,,['5'],[1.9807495586574078],"['5', '5', '5', '1', '5', '5', '1']","[1.91129119170364, 3.9193178397254087, 5.910233602044173, 6.627773339685518, 7.927912412909791, 9.910486345877871, 11.340537886775564]","['5', '5', '5', '5', '5']","[1.977707224257756, 3.9669807931641117, 5.978123332140967, 7.9800892600324005, 9.963129764073528]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective4spk_3targets_Stim7,0,7,7,7,,,['5'],[1.9573055369546637],"['5', '5', '1', '5', '5', '5', '1']","[1.9335719930240884, 3.9328355719335377, 5.1742187606869265, 5.949549166543875, 7.942306836950593, 9.932410910958424, 11.04276246012887]","['5', '5', '5', '5']","[1.9806092879734933, 3.981785765616223, 5.979902375023812, 7.986576779396273]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective4spk_3targets_Stim8,0,8,8,8,,,['5'],[1.9753324586199597],"['5', '1', '5', '5', '1', '5', '5', '1']","[1.9351479000179097, 3.760181599180214, 3.9235674428055063, 5.941099995863624, 6.527669676172081, 7.939227724331431, 9.932279621076304, 11.202242962492164]","['5', '5', '5', '5']","[1.9767852010554634, 3.9863022251520306, 5.975604874547571, 7.965885997517034]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
stimuli/sounds/Run2_Selective/Selective2spk_3targets_Stim8,0,9,9,9,,,['5'],[1.981755829823669],"['5', '5', '1', '5', '1', '5', '5', '1']","[1.9134807829395868, 3.909498463908676, 4.304352325794753, 5.917681633436587, 6.46312719816342, 7.9082976099452935, 9.928391386056319, 11.157095473026857]","['5', '5', '5', '5']","[1.9688735922100022, 3.9700556293246336, 5.97421371442033, 7.967369531164877]",sel2,001,2018_Dec_14_1211,Run1,59.86553949697583,
